balance,housing,duration,campaign,previous,response,job,contacted_cellphone,was_p_contacted,salary_bin,day_bin,age_bin,edu_num
2143.0,1,261.0,1.0,0,0,management,0,0,80k-100k,1 to 9,48 to 63 years,3
29.0,1,151.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
2.0,1,76.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,18 to 33 years,2
1506.0,1,92.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,33 to 48 years,1
231.0,1,139.0,1.0,0,0,management,0,0,80k-100k,1 to 9,33 to 48 years,3
447.0,1,217.0,1.0,0,0,management,0,0,80k-100k,1 to 9,18 to 33 years,3
2.0,1,380.0,1.0,0,0,entrepreneur,0,0,100k+,1 to 9,33 to 48 years,3
121.0,1,50.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,1
593.0,1,55.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,33 to 48 years,2
270.0,1,222.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,2
390.0,1,137.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,18 to 33 years,2
6.0,1,517.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,2
71.0,1,71.0,1.0,0,0,technician,0,0,20k-60k,1 to 9,48 to 63 years,3
162.0,1,174.0,1.0,0,0,services,0,0,60k-80k,1 to 9,48 to 63 years,2
229.0,1,353.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,1
13.0,1,98.0,1.0,0,0,admin.,0,0,20k-60k,1 to 9,33 to 48 years,1
52.0,1,38.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,48 to 63 years,1
60.0,1,219.0,1.0,0,0,retired,0,0,20k-60k,1 to 9,48 to 63 years,1
0.0,1,54.0,1.0,0,0,services,0,0,60k-80k,1 to 9,18 to 33 years,2
723.0,1,262.0,1.0,0,0,blue-collar,0,0,<=20k,1 to 9,18 to 33 years,2
